home_team,away_team,league,match_date,home_form,away_form,home_elo,away_elo,elo_diff,home_odds,draw_odds,away_odds,home_win_prob,draw_prob,away_win_prob,over_odds,under_odds,handi_size,handi_home,handi_away,match_result,over_2_5,btts,home_goals,away_goals,form3home,form3away,homeshots,awayshots,hometarget,awaytarget,homefouls,awayfouls,homecorners,awaycorners,homeyellow,awayyellow,homered,awayred,home_win_pred,draw_pred,away_win_pred,under_2_5_pred,over_2_5_pred,btts_no_pred,btts_yes_pred,match_result_pred,over_under_pred,btts_pred,over_under_actual,btts_actual,match_result_confidence,over_under_confidence,btts_confidence,match_result_confidence_bin,over_under_confidence_bin,btts_confidence_bin
Tottenham,Aston Villa,E0,2023-01-01,0.4666666666666667,0.6,0.93639,0.86963,0.26703999999999994,1.68,4.06,4.94,0.5952380952380952,0.24630541871921185,0.20242914979757085,1.77,2.06,-0.8,1.87,2.06,A,0,0,0.0,2.0,0.4444444444444444,0.6666666666666666,0.2,0.43333333333333335,0.06666666666666667,0.13333333333333333,0.75,0.5,0.3333333333333333,0.2,0.8,0.6,0.0,0.0,0.28191944860097207,0.24264004795513316,0.4754405034438949,0.7493854311318463,0.2506145688681537,0.5333985759583637,0.46660142404163624,A,Under,No,Under,No,0.4754405034438949,0.7493854311318463,0.5333985759583637,0-50%,70-80%,50-60%
Angers,Lorient,F1,2023-01-01,0.0,0.13333333333333333,0.7409349999999999,0.785005,-0.1762800000000002,2.75,3.48,2.53,0.36363636363636365,0.28735632183908044,0.3952569169960475,1.9,1.92,0.0,2.03,1.87,A,1,1,1.0,2.0,0.0,0.1111111111111111,0.4666666666666667,0.3333333333333333,0.2,0.16666666666666666,0.8,0.45,0.4666666666666667,0.4666666666666667,0.6,0.0,0.0,0.0,0.3493573547418147,0.3057650994914133,0.3448775457667725,0.46293392546876744,0.5370660745312326,0.38266598444456235,0.6173340155554377,H,Over,Yes,Over,Yes,0.3493573547418147,0.5370660745312326,0.6173340155554377,0-50%,50-60%,60-70%
Monaco,Brest,F1,2023-01-01,0.6,0.4666666666666667,0.85866,0.7614249999999999,0.38894000000000006,1.5,4.67,5.94,0.6666666666666666,0.21413276231263384,0.16835016835016833,1.55,2.45,-1.0,1.75,2.05,H,0,0,1.0,0.0,0.6666666666666666,0.3333333333333333,0.5666666666666667,0.43333333333333335,0.16666666666666666,0.2,1.15,0.7,0.4666666666666667,0.3333333333333333,0.6,0.8,0.0,0.0,0.43811387663549833,0.22941142721660326,0.3324746961478981,0.4410812693254832,0.5589187306745168,0.2817511068692503,0.7182488931307497,H,Over,Yes,Under,No,0.43811387663549833,0.5589187306745168,0.7182488931307497,0-50%,50-60%,70-80%
Nantes,Auxerre,F1,2023-01-01,0.26666666666666666,0.26666666666666666,0.7945549999999999,0.748265,0.18515999999999985,1.92,3.46,4.23,0.5208333333333334,0.28901734104046245,0.23640661938534277,1.93,1.89,-0.5,1.9,2.0,H,0,0,1.0,0.0,0.2222222222222222,0.1111111111111111,0.3333333333333333,0.4666666666666667,0.1,0.2,0.5,0.95,0.2,0.4666666666666667,0.2,0.4,0.0,0.0,0.490285882706363,0.2679917274980506,0.24172238979558633,0.5049953633115936,0.4950046366884064,0.386759525888155,0.613240474111845,H,Under,Yes,Under,No,0.490285882706363,0.5049953633115936,0.613240474111845,0-50%,50-60%,60-70%
Toulouse,Ajaccio,F1,2023-01-01,0.06666666666666667,0.4666666666666667,0.7730549999999999,0.74924,0.09525999999999976,2.03,3.37,3.87,0.4926108374384237,0.29673590504451036,0.25839793281653745,2.02,1.81,-0.5,2.02,1.88,H,0,0,2.0,0.0,0.0,0.7777777777777778,0.36666666666666664,0.03333333333333333,0.13333333333333333,0.0,0.75,0.75,0.3333333333333333,0.13333333333333333,0.6,0.2,0.0,0.0,0.7091264907862216,0.19103250893730128,0.09984100027647716,0.950335448634708,0.049664551365292076,0.7069963749530417,0.29300362504695837,H,Under,No,Under,No,0.7091264907862216,0.950335448634708,0.7069963749530417,70-80%,90-100%,70-80%
Lyon,Clermont,F1,2023-01-01,0.6666666666666666,0.13333333333333333,0.8518,0.76105,0.363,1.5,4.56,6.28,0.6666666666666666,0.2192982456140351,0.1592356687898089,1.62,2.31,-1.3,2.06,1.84,A,0,0,0.0,1.0,0.4444444444444444,0.1111111111111111,0.43333333333333335,0.43333333333333335,0.06666666666666667,0.1,1.05,0.65,0.4666666666666667,0.26666666666666666,0.2,0.6,0.0,0.0,0.4126539087672783,0.23824825491023277,0.34909783632248936,0.8295063269060304,0.17049367309396957,0.6982282884476154,0.30177171155238464,H,Under,No,Under,No,0.4126539087672783,0.8295063269060304,0.6982282884476154,0-50%,80-90%,60-70%
Nottm Forest,Chelsea,E0,2023-01-01,0.4666666666666667,0.26666666666666666,0.812385,0.9420850000000001,-0.5188000000000001,5.21,3.88,1.69,0.19193857965451055,0.2577319587628866,0.591715976331361,1.96,1.85,0.8,2.02,1.91,D,0,1,1.0,1.0,0.4444444444444444,0.3333333333333333,0.4,0.23333333333333334,0.16666666666666666,0.06666666666666667,0.8,0.7,0.06666666666666667,0.13333333333333333,0.4,0.4,0.0,0.0,0.21121985617467223,0.5226898595382526,0.26609028428707576,0.5350830064184564,0.46491699358154354,0.6071222347620547,0.39287776523794526,D,Under,No,Under,Yes,0.5226898595382526,0.5350830064184564,0.6071222347620547,50-60%,50-60%,60-70%
Lens,Paris SG,F1,2023-01-01,0.8666666666666667,1.0,0.85972,0.952415,-0.3707799999999997,3.16,3.55,2.23,0.3164556962025316,0.28169014084507044,0.4484304932735426,1.73,2.13,0.3,1.95,1.95,H,1,1,3.0,1.0,0.7777777777777778,1.0,0.3333333333333333,0.5333333333333333,0.13333333333333333,0.2,0.8,0.6,0.2,0.4666666666666667,0.4,0.6,0.0,0.0,0.47084038537756706,0.20059398960073502,0.32856562502169795,0.39440485354305765,0.6055951464569423,0.3237851890383303,0.6762148109616697,H,Over,Yes,Over,Yes,0.47084038537756706,0.6055951464569423,0.6762148109616697,0-50%,60-70%,60-70%
Strasbourg,Troyes,F1,2023-01-02,0.2,0.2,0.79637,0.7682,0.11267999999999984,1.82,3.81,4.2,0.5494505494505494,0.26246719160104987,0.23809523809523808,1.81,2.01,-0.5,1.77,2.02,A,1,1,2.0,3.0,0.1111111111111111,0.2222222222222222,0.5666666666666667,0.3,0.23333333333333334,0.16666666666666666,0.5,0.6,0.2,0.06666666666666667,0.2,0.4,0.0,0.0,0.4340330310043574,0.1734167815879367,0.392550187407706,0.16088647581436133,0.8391135241856387,0.27341475854752273,0.7265852414524773,H,Over,Yes,Over,Yes,0.4340330310043574,0.8391135241856387,0.7265852414524773,0-50%,80-90%,70-80%
Lille,Reims,F1,2023-01-02,0.6666666666666666,0.7333333333333333,0.85329,0.803845,0.19777999999999973,1.67,4.04,4.99,0.5988023952095809,0.24752475247524752,0.2004008016032064,1.78,2.05,-0.8,1.86,2.04,D,0,1,1.0,1.0,0.7777777777777778,0.7777777777777778,0.4666666666666667,0.3,0.16666666666666666,0.2,0.4,0.6,0.3333333333333333,0.06666666666666667,0.2,0.2,0.0,0.0,0.3654544462942086,0.4030331017456992,0.23151245196009232,0.2513665806684444,0.7486334193315556,0.3172006667268191,0.6827993332731809,D,Over,Yes,Under,Yes,0.4030331017456992,0.7486334193315556,0.6827993332731809,0-50%,70-80%,60-70%
