iter	Logloss
0	0.678689269
1	0.6631245548
2	0.6516066707
3	0.6427800259
4	0.6369111383
5	0.6298297986
6	0.6263769947
7	0.6226835347
8	0.6194207809
9	0.6163990866
10	0.613079262
11	0.6109555803
12	0.6081271139
13	0.6056847995
14	0.604591813
15	0.6032473381
16	0.6018677993
17	0.6007899697
18	0.5988821001
19	0.5979435612
20	0.5969929936
21	0.5962935218
22	0.5959602221
23	0.5952192
24	0.5945379809
25	0.5937789274
26	0.5933333299
27	0.5926706327
28	0.5921054001
29	0.5913042057
30	0.5907835901
31	0.5902350554
32	0.5897767035
33	0.5892867753
34	0.5886567038
35	0.5879512087
36	0.5872999881
37	0.5869530987
38	0.5864717264
39	0.5858483702
40	0.5855846758
41	0.5850310315
42	0.5843235553
43	0.5838330662
44	0.5833409977
45	0.5826743944
46	0.5822399793
47	0.5819387701
48	0.5816250802
49	0.5811492314
50	0.5807379417
51	0.5801247197
52	0.579513186
53	0.5792108656
54	0.5787399562
55	0.5782536987
56	0.5778881926
57	0.577584137
58	0.577294243
59	0.5768289436
60	0.5767177916
61	0.5765506061
62	0.5759315678
63	0.5756134801
64	0.5751209938
65	0.5746746269
66	0.5741594432
67	0.5738285082
68	0.5734943483
69	0.5730926784
70	0.5728235314
71	0.5725356405
72	0.5721350228
73	0.5717148685
74	0.5714323895
75	0.5710084275
76	0.5706320047
77	0.5704224663
78	0.5699182523
79	0.5695340767
80	0.5690670992
81	0.5688663521
82	0.5685189811
83	0.5681955846
84	0.5675620093
85	0.5673034364
86	0.5668070163
87	0.5664705594
88	0.566034187
89	0.5656930118
90	0.5653117443
91	0.5649001205
92	0.5644438578
93	0.5639586815
94	0.5635008758
95	0.5630311018
96	0.5625414712
97	0.5624324538
98	0.5620289833
99	0.5617449651
100	0.5614484537
101	0.5610305454
102	0.5605118824
103	0.560117075
104	0.5596449731
105	0.5592453968
106	0.5588427425
107	0.5584798589
108	0.5582300811
109	0.5578459291
110	0.5575063313
111	0.5571417008
112	0.5567465873
113	0.5562838958
114	0.5559167878
115	0.5554891159
116	0.555118844
117	0.5547055568
118	0.5543591612
119	0.5538295379
120	0.5534557757
121	0.5530453721
122	0.5525109274
123	0.5521224448
124	0.5518505501
125	0.5513644387
126	0.5510438606
127	0.5504649121
128	0.5500734706
129	0.5496716112
130	0.5491792346
131	0.5488935764
132	0.5483631617
133	0.5479604097
134	0.5474938616
135	0.5471629983
136	0.5467068463
137	0.5462330824
138	0.5457401896
139	0.5452460067
140	0.544908438
141	0.5444249264
142	0.5440737129
143	0.5437142335
144	0.5435633722
145	0.5432147501
146	0.5426964404
147	0.5424099759
148	0.5420618584
149	0.5416767374
150	0.5412647773
151	0.540987694
152	0.5403661652
153	0.5401377151
154	0.5395952573
155	0.5391894162
156	0.5387582188
157	0.5385506434
158	0.538253168
159	0.5380268528
160	0.5378113633
161	0.5374983388
162	0.5371131239
163	0.5365608033
164	0.5361165076
165	0.535832964
166	0.5354683478
167	0.5352076745
168	0.5348999926
169	0.534615902
170	0.5341645871
171	0.5336399323
172	0.5333113897
173	0.5329329252
174	0.5322925857
175	0.5318523711
176	0.5314210575
177	0.5310925167
178	0.5307270177
179	0.5304805405
180	0.5301331889
181	0.5297745085
182	0.5293928516
183	0.5291375608
184	0.5285751752
185	0.5278969142
186	0.5275384203
187	0.5272061848
188	0.5267683895
189	0.5262413357
190	0.5257760183
191	0.5254624035
192	0.5250466436
193	0.5245890571
194	0.5245155074
195	0.5242686473
196	0.5239952016
197	0.5236073837
198	0.5232843187
199	0.5229185146
