iter	Passed	Remaining
0	23	4580
1	30	3045
2	55	3652
3	66	3261
4	72	2826
5	78	2539
6	84	2322
7	88	2120
8	94	2003
9	100	1904
10	113	1948
11	120	1880
12	125	1811
13	132	1760
14	138	1710
15	150	1730
16	413	4452
17	419	4242
18	425	4053
19	490	4418
20	496	4234
21	502	4067
22	550	4239
23	557	4089
24	565	3956
25	580	3885
26	589	3774
27	594	3654
28	706	4166
29	718	4069
30	724	3948
31	730	3834
32	743	3760
33	754	3685
34	814	3839
35	820	3737
36	826	3640
37	837	3571
38	843	3483
39	852	3411
40	858	3329
41	864	3251
42	1066	3894
43	1072	3803
44	1092	3761
45	1127	3775
46	1133	3690
47	1168	3700
48	1178	3630
49	1194	3582
50	1200	3507
51	1206	3433
52	1212	3362
53	1218	3293
54	1223	3226
55	1439	3702
56	1498	3759
57	1504	3683
58	1509	3608
59	1558	3636
60	1563	3563
61	1569	3493
62	1591	3461
63	1597	3394
64	1685	3501
65	1692	3435
66	1812	3598
67	1820	3534
68	1865	3541
69	1872	3477
70	2028	3686
71	2047	3639
72	2053	3571
73	2059	3505
74	2065	3441
75	2190	3573
76	2235	3570
77	2240	3505
78	2246	3441
79	2252	3379
80	2259	3319
81	2277	3277
82	2283	3219
83	2434	3362
84	2555	3457
85	2565	3401
86	2572	3341
87	2644	3365
88	2658	3316
89	2706	3308
90	2726	3266
91	2732	3208
92	2750	3164
93	2763	3116
94	2769	3061
95	2775	3007
96	2781	2953
97	2787	2901
98	2793	2849
99	2799	2799
100	2804	2749
101	2953	2838
102	2968	2795
103	2977	2748
104	2994	2709
105	3017	2675
106	3033	2636
107	3059	2606
108	3102	2590
109	3186	2607
110	3192	2559
111	3202	2516
112	3210	2471
113	3216	2426
114	3222	2382
115	3229	2338
116	3250	2305
117	3263	2268
118	3284	2235
119	3321	2214
120	3471	2266
121	3480	2225
122	3486	2182
123	3550	2176
124	3692	2215
125	3702	2174
126	3721	2139
127	3776	2124
128	3796	2089
129	3815	2054
130	3904	2056
131	3918	2018
132	3999	2014
133	4023	1981
134	4029	1940
135	4037	1900
136	4081	1877
137	4280	1923
138	4295	1885
139	4363	1870
140	4404	1843
141	4431	1810
142	4438	1769
143	4446	1729
144	4454	1689
145	4466	1652
146	4480	1615
147	4491	1578
148	4505	1542
149	4690	1563
150	4708	1527
151	4716	1489
152	4723	1450
153	4731	1413
154	4747	1378
155	4780	1348
156	4787	1311
157	4928	1310
158	4936	1272
159	4942	1235
160	4950	1199
161	4956	1162
162	4965	1127
163	4971	1091
164	4979	1056
165	4988	1021
166	5002	988
167	5010	954
168	5029	922
169	5171	912
170	5180	878
171	5187	844
172	5212	813
173	5233	782
174	5271	753
175	5307	723
176	5313	690
177	5340	660
178	5351	627
179	5359	595
180	5365	563
181	5375	531
182	5389	500
183	5408	470
184	5414	439
185	5421	408
186	5432	377
187	5445	347
188	5451	317
189	5479	288
190	5504	259
191	5521	230
192	5525	200
193	5539	171
194	5548	142
195	5556	113
196	5584	85
197	5594	56
198	5603	28
199	5609	0
810	0
